가축	家畜	사람이 기르는 집짐승
간단	簡單	복잡하지 않고 단순함
간언	諫言	간절히 타이르며 말함
갈등	葛藤	서로 충돌하여 다툼
개념	槪念	사물에 대한 일반적 이해
개선	凱旋	전쟁에서 이기고 돌아옴
개탄	慨歎	한탄하고 탄식함
갱도	坑道	지하를 파낸 통로
건조	乾燥	물기가 말라서 없음
검열	檢閱	검사하고 살펴봄
게양	揭揚	깃발 등을 높이 올림
격려	激勵	힘을 북돋아 줌
격차	隔差	서로의 차이
결정	結晶	물질이 굳어져 생긴 알갱이
결핍	缺乏	모자라거나 부족함
결함	缺陷	흠이나 잘못된 점
겸손	謙遜	자기를 낮추는 태도
경각	頃刻	아주 짧은 시간
계몽	啓蒙	깨우쳐서 바르게 함
고민	苦悶	마음속으로 괴로워함
고분	古墳	옛날에 만든 무덤
고사	枯死	말라서 죽음
고용	雇傭	일을 시키고 품삯을 줌
고취	鼓吹	분발하도록 북돋움
공격	攻擊	상대편을 치고 나아감
공란	空欄	빈칸
공헌	貢獻	힘이나 재물을 바침
공황	恐慌	몹시 두려워하는 상태
과년	瓜年	결혼 적령기를 지난 여성
과장	誇張	실제보다 더 크게 말함
과점	寡占	시장 점유를 몇 개 기업이 독점함
관료	官僚	정부의 관리
관용	寬容	너그럽고 포용하는 태도
관청	官廳	정부의 관공서
광물	鑛物	지하에서 나는 광석
광인	狂人	미친 사람
괘도	掛圖	걸어 놓는 지도
괴뢰	傀儡	남의 앞잡이 노릇을 하는 사람
교묘	巧妙	솜씨가 뛰어남
교수	絞首	목을 매어 죽임
교외	郊外	도시 밖 지역
교정	矯正	잘못된 것을 바로잡음
교착	膠着	서로 움직이지 않고 꼼짝하지 않음
교체	交替	바꾸어 대신함
교편	敎鞭	교사가 학생을 가르칠 때 쓰는 채찍
교환	交換	서로 바꿈
교활	狡猾	교묘하고 약삭빠름
구릉	丘陵	작은 언덕들이 모인 땅
구사	驅使	마음대로 부림
구속	拘束	자유를 제한함
굴복	屈伏	강한 힘에 굴복함
궁궐	宮闕	왕이나 귀족이 사는 큰 집
궁전	宮殿	왕이나 귀족의 집
권태	倦怠	지루하고 싫증남
궤도	軌道	천체나 물체가 도는 길
귀신	鬼神	사람의 혼령이나 신령
규방	閨房	여자의 방
근간	根幹	사물의 근본이 되는 부분
근거	根據	어떤 사실이나 주장의 바탕
근린	近隣	가까이 있는 이웃
근육	筋肉	몸을 움직이는 조직
금수	錦繡	아름다운 비단과 자수
금수	禽獸	새와 짐승
금슬	琴瑟	부부 사이의 화목함
금융	金融	돈을 융통하는 일
급등	急騰	가격이나 수치가 갑자기 오름
긍정	肯定	옳다고 인정함
긍지	矜持	자신에 대한 자랑스러움
기도	祈禱	신에게 바람
기로	岐路	갈림길
기만	欺瞞	속임
기소	起訴	범죄 사실을 법원에 알림
기아	飢餓	굶주림
기압	氣壓	공기가 누르는 압력
기탄	忌憚	꺼리거나 거리낌
기호	嗜好	좋아함
긴장	緊張	팽팽하게 당김
나태	懶怠	게으르고 나태함
납치	拉致	억지로 끌고 감
낭송	朗誦	소리 내어 읽음
내빈	來賓	손님
냉각	冷却	차게 식힘
노예	奴隸	남의 지배를 받는 사람
노옹	老翁	늙은 사람
녹봉	祿俸	관리가 받는 봉급
농도	濃度	어떤 물질의 짙은 정도
뇌전	雷電	번개와 천둥
누각	樓閣	높은 누각
누명	陋名	사실이 아닌 죄명
누선	淚腺	눈물샘
누전	漏電	전기가 새어 나감
다한증	多汗症	땀이 많이 나는 증상
