가채	可採	채취할 수 있음
가치	價値	값어치, 사물이 지니는 중요성
간척	干拓	바다나 호수를 메워 육지를 만듦
갈등	葛藤	서로 맞서 다투거나 충돌함
강수량	降水量	내린 비나 눈의 양
검소	儉素	사치하지 않고 꾸밈없이 검소함
게시판	揭示板	알림을 붙이는 판
격차	隔差	서로의 차이
경제	經濟	재화와 서비스를 생산·분배·소비하는 활동
고증학	考證學	사실을 따져 증명하는 학문
공경	恭敬	존경하며 삼가 대함
공연	公演	관객 앞에서 행하는 연기나 연주
공황	恐慌	심하게 두려워 당황함
과장	誇張	사실보다 과하게 드러냄
과점	寡占	소수가 시장을 차지함
관성	慣性	물체가 운동 상태를 유지하려는 성질
관용	寬容	남을 너그럽게 받아들임
국보	國寶	나라의 보물
근거	根據	바탕이나 이유
근면	勤勉	부지런함
금융	金融	돈의 융통과 관련된 일
긍정	肯定	옳다고 인정함
긍지	矜持	자부심
기공	氣孔	기체가 드나드는 구멍
기단	氣團	비슷한 성질의 공기 덩어리
기압	氣壓	공기의 압력
기업	企業	이윤을 목적으로 하는 사업체
기지	機智	재치 있게 대처하는 슬기
기호	嗜好	좋아하는 경향이나 성향
나태	懶怠	게으르고 느림
납세	納稅	세금을 냄
농도	濃度	용액의 진함의 정도
답사	踏査	현장을 밟아 조사함
대본	臺本	연극·영화 등의 대사와 지시문
도체	導體	전기를 잘 통하는 물질
마찰력	摩擦力	마찰에 의해 생기는 힘
매장	埋藏	땅속에 묻어 둠
맥락	脈絡	사물이나 사건의 흐름이나 연관
면역	免疫	병에 저항하는 몸의 능력
모방	模倣	다른 것을 본떠서 따라함
묘사	描寫	상황이나 모습을 그림처럼 표현함
박람회	博覽會	여러 물품을 전시하는 행사
박물관	博物館	유물·유적 등을 전시하는 기관
반사	反射	빛·소리 등이 되돌아옴
반영	反映	어떤 현상이 다른 것에 나타남
방종	放縱	제멋대로 행동함
배경	背景	사물이나 사건의 뒷받침이 되는 것
배려	配慮	다른 사람을 생각하여 도움
복지	福祉	행복하고 잘 사는 삶
부도심	副都心	중심지 주변의 부도시 지역
분단	分斷	나라나 지역이 나뉨
분석	分析	복잡한 것을 나누어 살핌
불포화	不飽和	최대로 채워지지 않은 상태
붕당	朋黨	이익을 좇아 뭉친 무리
비교	比較	서로 견주어 봄
비속어	卑俗語	상스러운 말
비유	比喩	다른 것에 빗대어 설명함
비율	比率	둘 사이의 비례된 수
사법부	司法府	법을 집행하는 기관
사전	辭典	단어의 뜻을 모아 놓은 책
삭망월	朔望月	음력의 한 달
산책	散策	여유롭게 거닐기
상식	常識	일반적으로 알아야 할 지식
상징	象徵	추상적인 것을 구체적으로 나타냄
서술	敍述	상황이나 사건을 설명함
선택	選擇	여럿 중에서 고름
세포	細胞	생물의 기본 단위
소비	消費	돈이나 물건을 씀
소통	疏通	막힘없이 잘 통함
수요	需要	상품을 구하려는 욕구
수입	輸入	외국에서 물건을 들여옴
수필	隨筆	생각이나 느낌을 자유롭게 적은 글
순장	殉葬	죽은 사람과 함께 묻음
실천	實踐	생각을 실제로 행함
심상	心象	마음속에 떠오르는 모습
암석	巖石	딱딱한 돌
여가	餘暇	일이 없는 여유 시간
여론	輿論	많은 사람의 의견
연대	連帶	함께 묶여 있음
연상	聯想	한 생각에서 다른 생각이 떠오름
영장	令狀	공적으로 내리는 문서
예견	豫見	앞일을 미리 짐작함
예금	預金	은행에 돈을 맡김
오염	汚染	더럽혀짐
우주	宇宙	온 세상, 모든 공간
유대	紐帶	서로 연결된 관계
유신	維新	새롭게 고침
은어	隱語	특정 집단의 비밀스러운 말
음운	音韻	말소리의 가장 작은 단위
익명성	匿名性	이름이 드러나지 않음
자비	慈悲	남을 불쌍히 여김
장원	莊園	넓은 농장이나 영지
재판	裁判	옳고 그름을 법으로 판단함
저항	抵抗	힘에 맞서 반항함
전도	顚倒	위아래가 뒤바뀜
정서	情緖	감정이나 기분
조약	條約	나라 사이의 약속
존엄	尊嚴	높고 귀함
증후군	症候群	특정 증상이 함께 나타나는 병
지구촌	地球村	지구 전체를 하나의 마을로 보는 말
지조	志操	굳게 지키는 절개
지진	地震	땅이 흔들리는 현상
지층	地層	겹겹이 쌓인 땅의 층
질서	秩序	질서 있게 정돈됨
책임	責任	맡은 일에 대한 의무
천부	天賦	타고난 것
첨단	尖端	가장 앞선 부분
청렴	淸廉	깨끗하고 정직함
체조	體操	몸을 단련하는 운동
초과	超過	정해진 수를 넘음
추억	追憶	지난 일을 떠올림
추천	推薦	좋은 것을 권함
축척	縮尺	실제의 크기를 줄여 나타냄
취향	趣向	좋아하는 경향
타협	妥協	서로 양보하여 합의함
토의	討議	여러 사람이 의견을 나눔
투자	投資	이익을 얻기 위해 자금을 대는 일
투표	投票	의견을 표로 나타냄
판매	販賣	물건을 파는 일
편서풍	偏西風	서쪽에서 부는 바람
평형	平衡	균형이 잡힘
표준어	標準語	기준이 되는 말
함수	函數	수학에서 두 변수의 관계
함축	含蓄	속에 뜻을 담음
혁명	革命	큰 변화, 정치 체제의 변혁
혈연	血緣	피로 맺어진 관계
형태소	形態素	의미를 가진 가장 작은 말의 단위
확률	確率	어떤 일이 일어날 가능성
환경	環境	사람이나 생물을 둘러싼 조건
환곡	還穀	곡식을 되돌려 줌
효율	效率	들인 것에 대한 효과의 비율
희곡	戱曲	연극 대본
희소성	稀少性	드물고 귀함
