가열	加熱	불이나 열을 더함
거리	距離	두 지점 사이의 길이
검소	儉素	꾸밈없이 간소함
결과	結果	어떤 일의 끝에 얻은 결실
계산	計算	수를 합하거나 나눔
고민	苦悶	마음이 괴롭고 답답함
공손	恭遜	예의 바르고 겸손함
공통	共通	함께 통하는 것
관찰	觀察	자세히 살펴봄
구간	區間	정해진 구역이나 거리
기구	器具	도구나 기계
낭송	朗誦	시나 글을 소리내어 읽음
대화	對話	마주 보고 나누는 말
도형	圖形	그림으로 나타낸 모양
무관심	無關心	흥미나 관심이 없음
문제	問題	풀거나 해결해야 할 일
물체	物體	형체가 있는 모든 것
반성	反省	자신의 잘못을 돌아봄
발명	發明	새로운 것을 만들어 냄
방법	方法	일을 처리하는 방식
배열	配列	차례대로 늘어놓음
분류	分類	종류에 따라 나눔
분리	分離	따로 떼어 나눔
분수	分數	수를 나눈 몫
상품	賞品	상을 받을 만한 물품
수직	垂直	똑바로 서 있음
순서	順序	차례대로 이어짐
시간	時間	흐르는 순간의 길이
실천	實踐	행동으로 옮김
실험	實驗	시험 삼아 해봄
안전	安全	위험이 없음
암송	暗誦	글을 외워 소리내어 읽음
역할	役割	맡은 임무
온도	溫度	따뜻하거나 차가운 정도
우애	友愛	형제나 친구 간의 정
이용	利用	필요에 맞게 씀
이유	理由	어떤 까닭
이해	理解	뜻을 알아차림
일주	一周	한 바퀴 돎
종류	種類	성질에 따라 갈라진 무리
주변	周邊	둘레나 근처
차이	差異	서로 다른 점
착륙	着陸	땅에 내려옴
최선	最善	가장 잘함
특징	特徵	특별한 점
평가	評價	값을 판단함
평소	平素	늘 보통 때
표어	標語	짧게 나타낸 구호
표현	表現	뜻을 드러냄
혼합물	混合物	여러 성분이 섞인 것
화목	和睦	사이가 좋음
화학	化學	물질의 성질과 변화 연구
활용	活用	효과적으로 이용함
효도	孝道	부모에게 정성으로 봉양함
