계산	計算	수를 세어 합하거나 나눔
계획	計劃	앞으로 할 일을 미리 세움
교실	敎室	수업을 하는 방
규칙	規則	정해진 규범이나 법칙
모형	模型	실물을 본떠 만든 것
문법	文法	말의 규칙과 법칙
민속	民俗	한 민족 고유의 풍습
발음	發音	소리를 내어 읽음
방법	方法	일을 해내는 방식
배열	配列	차례대로 늘어놓음
변	邊	둘레나 가장자리
부호	符號	뜻을 나타내는 기호
분명	分明	틀림없이 확실함
삼각형	三角形	세 변으로 이루어진 도형
상상	想像	머릿속으로 그려 생각함
선	線	이어져 있는 길이나 줄
선심	善心	착한 마음
시	詩	생각과 감정을 운율로 표현한 글
시간	時間	흐르는 순간의 길이
시계	時計	시간을 재는 기구
식	式	형식이나 수학의 표현
신호	信號	뜻을 전하는 표시
실감	實感	실제로 느껴지는 감각
안전	安全	위험이 없음
역할	役割	맡은 임무
오전	午前	낮 12시 이전
오후	午後	낮 12시 이후
원	圓	둥근 모양
자세	姿勢	몸을 가누는 모양
자연	自然	사람이 만든 것이 아닌 천연의 것
장면	場面	특정한 상황이나 광경
정리	整理	가지런히 하여 정돈함
정직	正直	거짓이 없고 바름
정확	正確	틀림없이 맞음
준비	準備	미리 마련함
중요	重要	대단히 소중하고 필요함
질문	質問	묻는 말
체육	體育	몸을 단련하는 활동
체험	體驗	몸소 겪어 봄
학년	學年	학교 교육 과정의 구분
학습	學習	지식을 배우고 익힘
환경	環境	주변의 상황이나 조건
활동	活動	움직이며 하는 일
